domain_name,label,Dimension 1,Dimension 2
1,1,17.8380304,11.80897857
1,1,6.218293517,-12.43155047
1,1,1.166234002,-18.99669375
1,1,7.22870542,14.8390447
1,1,32.99420895,-8.896473316
1,1,-8.432679077,17.86911083
1,1,-10.45350288,3.223791203
1,1,-25.60968143,8.273901418
1,1,-9.948296931,-36.16706848
1,1,-7.927473125,-8.896473316
1,1,3.69226376,19.38414389
1,1,31.47859109,-8.896473316
1,1,3.187057808,-6.876429229
1,1,3.187057808,5.748846311
1,1,-10.45350288,-31.11695827
1,1,-9.44309098,17.36409981
1,1,-19.04200406,-3.341352078
1,1,6.218293517,16.85908879
1,1,-18.03159216,2.213769159
1,1,-7.927473125,-1.826319013
1,1,21.37447206,-3.8463631
1,1,0.661028051,-20.51172681
1,1,-11.46391479,-7.886451272
1,1,-15.5055624,-13.44157251
1,1,6.723499469,8.273901418
1,1,8.744323275,14.33403368
1,1,-6.411855271,-19.50170477
1,1,8.744323275,-13.44157251
1,1,17.33282445,-7.886451272
1,1,2.681851857,-12.93656149
1,1,10.76514708,-3.341352078
1,1,-9.44309098,13.32401163
1,1,20.36406016,0.698736095
1,1,-1.865001707,-13.94658353
1,1,-18.03159216,-2.331330035
1,1,12.78597089,12.31398959
1,1,-1.865001707,-14.45159455
1,1,8.744323275,-7.886451272
1,1,18.84844231,-7.381440251
1,1,-2.370207658,-7.381440251
1,1,-1.359795755,-5.866407186
1,1,0.155822099,7.768890397
1,1,-1.865001707,12.81900061
1,1,25.41611968,5.243835289
1,1,8.744323275,-5.866407186
1,1,11.77555898,0.698736095
1,1,18.34323635,3.728802224
1,1,31.98379704,-7.886451272
1,1,-1.865001707,10.79895653
1,1,-9.44309098,-31.62196929
1,1,-6.917061222,-15.4616166
1,1,29.96297324,-7.886451272
1,1,16.32241255,2.718780181
1,1,36.02544466,-5.866407186
1,1,6.218293517,6.253857332
1,1,-5.906649319,-4.856385143
1,1,2.176645905,7.768890397
1,1,12.78597089,-7.886451272
1,1,-7.422267174,14.8390447
1,1,-10.45350288,-5.866407186
1,1,-13.98994454,-8.391462294
1,1,5.713087566,18.37412185
1,1,-25.60968143,0.193725073
1,1,-16.5159743,7.263879375
1,1,-11.46391479,10.2939455
1,1,-7.422267174,5.243835289
1,1,29.96297324,-2.331330035
1,1,11.27035303,14.8390447
1,1,-21.06282786,5.243835289
1,1,-11.96912074,4.738824267
1,1,-2.370207658,-17.48166068
1,1,1.166234002,-14.45159455
1,1,15.8172066,17.86911083
1,1,12.78597089,-3.341352078
1,1,2.681851857,-11.92653945
1,1,14.30158874,2.718780181
1,1,27.43694348,-12.43155047
1,1,2.176645905,18.37412185
1,1,0.661028051,-14.95660557
1,1,19.85885421,16.85908879
1,1,-10.95870883,-6.371418208
1,1,-1.359795755,5.243835289
1,1,-8.432679077,-8.391462294
1,1,-4.391031465,10.2939455
1,1,30.97338514,-0.311285949
1,1,13.79638279,19.88915492
1,1,19.85885421,-9.401484337
1,1,28.44735538,-12.93656149
1,1,-27.12529928,-0.81629697
1,1,18.34323635,17.36409981
1,1,23.39529587,9.788934483
1,1,13.29117684,13.32401163
1,1,24.40570777,8.273901418
1,1,-21.06282786,9.788934483
1,1,-0.854589804,11.30396755
1,1,-18.03159216,-10.41150638
1,1,5.713087566,2.213769159
1,1,29.45776729,0.698736095
1,1,14.30158874,4.233813246
1,1,-6.411855271,-10.9165174
1,1,10.25994113,15.84906674
1,1,22.89008992,5.243835289
1,1,-11.46391479,-15.4616166
1,1,-13.48473859,-5.361396164
1,1,-2.370207658,-2.836341057
1,1,-4.391031465,-7.381440251
1,1,1.671439954,7.263879375
1,1,-25.10447548,0.698736095
1,1,27.43694348,-3.8463631
1,1,21.87967801,7.768890397
1,1,14.80679469,16.35407776
1,1,9.249529227,12.31398959
1,1,8.239117323,10.2939455
1,1,18.34323635,-4.856385143
1,1,-1.359795755,-17.9866717
1,1,-0.349383852,-11.42152842
1,1,-19.04200406,-2.836341057
1,1,-15.5055624,3.223791203
1,1,-12.97953264,4.738824267
1,1,-5.401443368,14.33403368
1,1,-27.63050523,-5.866407186
1,1,9.249529227,-0.311285949
1,1,12.28076494,-0.81629697
1,1,10.25994113,-7.886451272
1,1,5.713087566,-6.876429229
1,1,1.166234002,15.84906674
1,1,-17.02118025,5.748846311
1,1,1.671439954,18.37412185
1,1,-5.401443368,7.263879375
1,1,2.176645905,6.253857332
1,1,-16.5159743,-0.311285949
1,1,-1.865001707,15.34405572
1,1,1.166234002,-15.96662762
1,1,-22.07323977,-6.371418208
1,1,-14.49515049,-9.906495359
1,1,-17.02118025,-18.49168273
1,1,-8.432679077,2.213769159
1,1,-21.56803382,-8.391462294
1,1,-7.422267174,13.32401163
1,1,1.671439954,14.8390447
1,1,2.681851857,13.82902266
1,1,15.8172066,18.87913287
1,1,-20.55762191,8.273901418
1,1,-5.906649319,-18.99669375
1,1,-2.87541361,-11.92653945
1,1,-5.906649319,0.698736095
1,1,-21.06282786,1.708758138
1,1,-20.55762191,0.698736095
1,1,-19.54721001,-0.81629697
1,1,5.207881614,17.86911083
1,1,19.85885421,14.8390447
1,1,15.31200064,9.283923462
1,1,-27.12529928,-5.866407186
1,1,3.69226376,-5.866407186
1,1,-8.432679077,13.32401163
1,1,14.30158874,0.698736095
1,1,0.661028051,9.788934483
1,1,-9.44309098,15.84906674
1,1,1.166234002,14.33403368
1,1,-16.01076835,-13.94658353
1,1,-16.01076835,-10.41150638
1,1,-22.07323977,8.273901418
1,1,5.207881614,9.788934483
1,1,-12.97953264,16.35407776
1,1,-7.927473125,-7.381440251
1,1,-19.54721001,10.79895653
1,1,-4.391031465,6.253857332
1,1,21.87967801,11.80897857
1,1,-19.54721001,-6.876429229
1,1,35.52023871,-6.876429229
1,1,-5.906649319,7.263879375
1,1,-17.5263862,-8.391462294
1,1,27.43694348,-3.341352078
1,1,11.27035303,13.32401163
1,1,1.671439954,16.35407776
